city,lat,lng,country,admin
Barranquilla,10.9833,-74.8019,Colombia,admin
Benxi,41.3039,123.7649,China,admin
Saitama,35.8614,139.6456,Japan,admin
Guarulhos,-23.4667,-46.5333,Brazil,admin
Leizhou,20.9143,110.0967,China,admin
Juarez,31.745,-106.485,Mexico,admin
Yangquan,37.8571,113.5804,China,admin
Fuqing,25.7167,119.3833,China,admin
Xintai,35.909,117.768,China,admin
Wusong,30.945,117.811,China,admin
Tongling,30.9456,117.8114,China,admin
Calgary,51.05,-114.0667,Canada,admin
Meerut,28.98,77.71,India,admin
Kuaidamao,41.7283,125.9397,China,admin
Huazhou,21.664,110.6396,China,admin
Wuzhong,37.9978,106.1986,China,admin
Belem,-1.4558,-48.5039,Brazil,admin
Rosario,-32.9575,-60.6394,Argentina,admin
Tangier,35.7767,-5.8039,Morocco,admin
Canagatan,18,121.8,Philippines,admin
Soweto,-26.2678,27.8585,South Africa,admin
Xiantao,30.328,113.443,China,admin
Jabalpur,23.1667,79.9333,India,admin
Huaiyin,33.5819,119.028,China,admin
Yutan,28.278,112.552,China,admin
Kazan,55.7964,49.1089,Russia,admin
Bagam,1.13,104.0531,Indonesia,admin
Dayan,26.8552,100.2259,China,admin
Brussels,50.8467,4.3525,Belgium,admin
Laiwu,36.1833,117.6667,China,admin
Huazhou,32.688,112.087,China,admin
Sharjah,25.3575,55.3908,United Arab Emirates,admin
Kalyan,19.24,73.13,India,admin
Rucheng,32.246,120.591,China,admin
Yongcheng,33.9299,116.45,China,admin
Sumedang,-6.84,107.9208,Indonesia,admin
Can Tho,10.0333,105.7833,Vietnam,admin
Suwon,37.2667,127.0167,"Korea, South",admin
Yiwu,29.3069,120.0753,China,admin
Vasai-Virar,19.47,72.8,India,admin
Campinas,-22.9009,-47.0573,Brazil,admin
Dadukou,26.5824,101.7184,China,admin
Lingcheng,22.708,110.354,China,admin
Shuangyashan,46.6762,131.1416,China,admin
Nizhniy Novgorod,56.3269,44.0075,Russia,admin
Panipat,29.3875,76.97,India,admin
Varanasi,25.3189,83.0128,India,admin
Hiroshima,34.3914,132.4519,Japan,admin
Chiang Mai,18.7953,98.9986,Thailand,admin
Kalleli,9.2807,76.8697,India,admin
Batam Centre,1.1272,104.0556,Indonesia,admin
Pingdu,36.7769,119.9884,China,admin
Rongcheng,26.218,104.103,China,admin
Xinyu,27.8186,114.9167,China,admin
Doha,25.2867,51.5333,Qatar,admin
Shymkent,42.3167,69.5958,Kazakhstan,admin
Srinagar,34.09,74.79,India,admin
Chelyabinsk,55.1547,61.3758,Russia,admin
Aurangabad,19.88,75.32,India,admin
Cilacap,-7.7167,109.017,Indonesia,admin
Xinhualu,34.3964,113.7402,China,admin
Guankou,28.1637,113.6433,China,admin
Bandar Lampung,-5.45,105.2667,Indonesia,admin
Dhanbad,23.7998,86.4305,India,admin
Jingling,30.664,113.167,China,admin
Zhuji,29.7167,120.2333,China,admin
Samara,53.2028,50.1408,Russia,admin
Yingtan,28.2721,117.0395,China,admin
Edmonton,53.5344,-113.4903,Canada,admin
Guyuan,36.01,106.257,China,admin
Leiyang,26.4223,112.8598,China,admin
Krasnodar,45.0333,38.9667,Russia,admin
Rostov,47.2225,39.71,Russia,admin
Amritsar,31.64,74.86,India,admin
Aligarh,27.88,78.08,India,admin
Zhangye,38.9248,100.4499,China,admin
Ufa,54.7261,55.9475,Russia,admin
Ulsan,35.55,129.3167,"Korea, South",admin
Rongcheng,29.8402,112.9048,China,admin
Tbilisi,41.7225,44.7925,Georgia,admin
Guwahati,26.1722,91.7458,India,admin
Fes,34.0433,-5.0033,Morocco,admin
Yingchuan,34.142,113.489,China,admin
Ninh Binh,20.25,105.8333,Vietnam,admin
Omsk,54.9833,73.3667,Russia,admin
Mexicali,32.6633,-115.4678,Mexico,admin
Dingzhou,38.516,114.99,China,admin
Tamale,9.4075,-0.8533,Ghana,admin
Yuyao,30.05,121.15,China,admin
Goiania,-16.6806,-49.2564,Brazil,admin
Krasnoyarsk,56.0089,92.8719,Russia,admin
Cologne,50.9364,6.9528,Germany,admin
Yicheng,31.36,119.815,China,admin
Ezhou,30.3914,114.8949,China,admin
Astana,51.1472,71.4222,Kazakhstan,admin
Zhufeng,36,119.4167,China,admin
Nezahualcoyotl,19.4081,-99.0186,Mexico,admin
Haora,22.58,88.3294,India,admin
Tongjin,37.2333,127.2,"Korea, South",admin
Ranchi,23.36,85.33,India,admin
Ciudad Nezahualcoyotl,19.4006,-99.0148,Mexico,admin
Gwalior,26.2125,78.1775,India,admin
Ottawa,45.4247,-75.695,Canada,admin
Haicheng,40.8824,122.6852,China,admin
Jianguang,28.1958,115.7833,China,admin
Goyang,37.65,126.8,"Korea, South",admin
Sendai,38.2682,140.8694,Japan,admin
Xibeijie,39.7334,98.4943,China,admin
Chandigarh,30.75,76.78,India,admin
Voronezh,51.6717,39.2106,Russia,admin
Zhongwei,37.5002,105.1968,China,admin
Jiancheng,30.38,104.53,China,admin
Mersin,36.8,34.6333,Turkey,admin
Shouguang,36.857,118.791,China,admin
Liangshi,27.26,111.7442,China,admin
Sao Luis,-2.53,-44.3028,Brazil,admin
Jodhpur,26.28,73.02,India,admin
Sanya,18.2533,109.5036,China,admin
Rangapukur,25.5206,89.2147,Bangladesh,admin
Linhai,28.85,121.1167,China,admin
Perm,58,56.3167,Russia,admin
Shubra al Khaymah,30.1286,31.2422,Egypt,admin
Islamabad,33.6931,73.0639,Pakistan,admin
Xinyi,22.3549,110.9468,China,admin
